,theme,alt_theme,author,title,year,page_numbers,page_link
94,Conversion experience,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,25-26,/fpn/jones/jones.html#AnoJone25
95,Conversion experience,,"Marrs, Elijah P.",Life and History of the Rev. Elijah P. Marrs,1885,13-15,/neh/marrs/marrs.html#p13
96,Conversion experience,,"McCray, S. J.",Life of Mary F. McCray,1898,10-13,/neh/mccray/mary.html#McCMary10
97,Conversion experience,,No Author,Biography of London Ferrill,1854,1-3,/neh/ferrill/ferrill.html#p1
98,Conversion experience,,"Randolph, Peter",Sketches of Slave Life,1855,25-26,/neh/randol55/randol55.html#rando25
99,Conversion experience,,"Richmond, Legh",The Negro Servant,1815,143-149,/neh/richmond/richmond.html#rich143
100,Conversion experience,,"Robinson, Rev. William H.",From Log Cabin to the Pulpit,1913,137-142,/fpn/robinson/robinson.html#robinson137
101,Conversion experience,,"Smith, James Lindsay",Autobiography of James L. Smith ,1881,26,/neh/smithj/smithj.html#jsmith26
102,Conversion experience,,"Stevens, Charles Emery",Anthony Burns,1856,162-164,/neh/stevens/stevens.html#steve162
103,Conversion experience,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,15-16,/fpn/veney/veney.html#veney15
104,Conversion experience,,"Williams, Isaac",Aunt Sally,1858,44-45,/neh/sally/sally.html#sally44
105,Funerals,,"Bradford, Sarah H. (Sarah Hopkins)",Scenes in the Life of Harriet Tubman,1869,43-44,/neh/bradford/bradford.html#bradf43
106,Funerals,,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,19-20,/neh/long/long.html#long19
107,Funerals,,No Author,Biography of London Ferrill,1854,3,/neh/ferrill/ferrill.html#p3
108,Funerals,,"Randolph, Peter",Sketches of Slave Life,1855,13-15,/neh/randol55/randol55.html#rando13
109,Funerals,,"Stevens, Charles Emery",Anthony Burns,1856,167-168,/neh/stevens/stevens.html#steve167
110,"Heaven, slaves' notion of",,"Anderson, William J.",Life and Narrative of William J. Anderson,1857,8,/neh/andersonw/andersonw.html#p8
111,"Heaven, slaves' notion of",,"Ball, Charles",Fifty Years in Chains,1859,150,/fpn/ball/ball.html#ball150
112,"Heaven, slaves' notion of",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,126,/neh/bibb/bibb.html#bibb126
113,"Heaven, slaves' notion of",,"Brown, Rebecca Warren[?]",Memoir of Mrs. Chloe Spear,1832,17,/neh/brownrw/brownrw.html#spear17
114,"Heaven, slaves' notion of",,"Brown, William Wells",My Southern Home,1880,20,/neh/brown80/brown80.html#brown20
115,"Heaven, slaves' notion of",,"Capehart, L.C.",Reminiscences of Isaac and Sukey,1907,9,/neh/capehart/capehart.html#cape9
116,"Heaven, slaves' notion of",,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,6,/neh/eliza1/eliza1.html#eliza6
117,"Heaven, slaves' notion of",,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,73-75,/neh/foster/foster.html#foster73
118,"Heaven, slaves' notion of",,"Levering, Sarah R.",Memoirs of Margaret Jane Blake of Baltimore,1897,27-28,/neh/levering/levering.html#lev27
119,"Heaven, slaves' notion of",,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,165,/neh/long/long.html#long165
120,"Heaven, slaves' notion of",,"Meachum, John B.",An Address to All the Colored Citizens of the United States,1846,40-41,/neh/meachum/meachum.html#p40
121,"Heaven, slaves' notion of",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,15,/neh/offley/offley.html#offley15
122,"Heaven, slaves' notion of",,"Randolph, Peter",Sketches of Slave Life,1855,14,/neh/randol55/randol55.html#rando14
123,"Heaven, slaves' notion of",,"Upham, Mrs. T.C.",Narrative of Phebe Ann Jacobs,1850?,6,/neh/upham/upham.html#jacobs6
124,Jesus,,Aaron,The Light and Truth of Slavery,1845,4,/neh/aaron/aaron.html#p4
125,Jesus,,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,53,/neh/black/black.html#black53
126,Jesus,,"Browne, Martha Griffith",Autobiography of a Female Slave,1857,46-48,/neh/browne/browne.html#browne46
127,Jesus,,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,24,/neh/davisn/davis.html#davis24
128,Jesus,,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,70,/neh/foster/foster.html#foster70
129,Jesus,,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,5,/neh/jacksonm/jackson.html#jackson5
130,Jesus,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,15-17,/neh/johnson/johnson.html#john15
131,Jesus,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,28,/fpn/jones/jones.html#AnoJone28
132,Jesus,,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,20,/neh/jonestom/jones.html#tom20
133,Jesus,,"Levering, Sarah R.",Memoirs of Margaret Jane Blake of Baltimore,1897,47,/neh/levering/levering.html#lev47
134,Jesus,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,14-15,/neh/offley/offley.html#offley14
135,Jesus,,"Randolph, Peter",Sketches of Slave Life,1855,9-11,/neh/randol55/randol55.html#rando9
136,Jesus,,"Richmond, Legh",The Negro Servant,1815,145-149,/neh/richmond/richmond.html#rich145
137,Jesus,,"Williams, Isaac",Aunt Sally,1858,44-45,/neh/sally/sally.html#sally44
138,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Adams, John Quincy",Narrative of the Life of John Quincy Adams,1872,6,/neh/adams/adams.html#adams6
139,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Albert, Octavia V. Rogers",The House of Bondage,1890,10-11,/neh/albert/albert.html#albert10
140,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,5,/neh/anderson/anderson.html#ander5
141,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Anderson, William J.",Life and Narrative of William J. Anderson ,1857,8-9,/neh/andersonw/andersonw.html#p8
142,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,Anonymous,The Life of Joice Heth,1835,9,/neh/heth/heth.html#heth9
143,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,Anonymous,"A Narrative of ""Griswold""",1845,4,/neh/griswold/griswold.html#griswold4
144,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,21,/neh/bibb/bibb.html#bibb21
145,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,18-19,/neh/black/black.html#black18
146,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Brown, Rebecca Warren[?]",Memoir of Mrs. Chloe Spear,1832,20-31,/neh/brownrw/brownrw.html#spear20
148,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Cugoano, Ottobah",Narrative of the Enslavement of Ottobah Cugoano,1825,126-127,/neh/cugoano/cugoano.html#fish126
149,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,10,/neh/davisn/davis.html#davis10
150,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,85-86,/neh/douglasslife/douglass.html#douglass85
151,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Ferebee, Rev. L. R.",A Brief History of the Slave Life of Rev. L. R . Ferebee,1882,10,/fpn/ferebee/ferebee.html#ferebee10
152,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Gurley, Ralph Randolph",Sketch of the Life of the Rev. Lott Cary,1835,147,/neh/gurley/gurley.html#cary147
153,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Horton, George Moses",Life of George M. Horton,1845,iv-viii,/fpn/hortonlife/horton.html#hort4
154,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,100-103,/fpn/hughes/hughes.html#hughes100
155,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,111-115,/fpn/jacobs/jacobs.html#jac111
156,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Johnson, Isaac",Slavery Days in Old Kentucky,1901,24-25,/neh/johnson/johnson.html#p24
157,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,13-22,/fpn/jones/jones.html#AnoJone13
158,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,20,/neh/lanelunsford/lane.html#lane20
159,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Marrs, Elijah P.",Life and History of the Rev. Elijah P. Marrs,1885,11-12,/neh/marrs/marrs.html#p11
160,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,9-12,/neh/offley/offley.html#offley9
161,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"O'Neal, William",Life and History of William O'Neal,1896,14,/neh/oneal/oneal.html#oneal14
162,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Parker, Allen",Recollections of Slavery Times,1895,54,/neh/parker/parker.html#parker54
163,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Randolph, Peter",Sketches of Slave Life,1855,25-27,/neh/randol55/randol55.html#rando25
164,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Ray, Emma J. Smith","Twice Sold, Twice Ransomed",1926,16,/neh/rayemma/rayemma.html#p16
165,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Richmond, Legh",The Negro Servant,1815,147,/neh/richmond/richmond.html#rich147
166,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Singleton, William Henry",Recollections of My Slavery Days,1922,5-7,/neh/singleton/singleton.html#sing5
167,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Stevens, Charles Emery",Anthony Burns,1856,171-172,/neh/stevens/stevens.html#steve171
168,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Upham, Mrs. T.C.",Narrative of Phebe Ann Jacobs,1850?,3,/neh/upham/upham.html#jacobs3
169,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Williams, James",Narrative of James Williams,1838,26,/neh/williams/williams.html#williams26
170,Marriage,,"Albert, Octavia V. Rogers",The House of Bondage,1890,107-108,/neh/albert/albert.html#albert107
171,Marriage,,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,22-23,/neh/boxbrown/boxbrown.html#p22
172,Marriage,,"Brown, William Wells",My Southern Home,1880,44-46,/neh/brown80/brown80.html#brown44
173,Marriage,,"Brown, William Wells",Narrative of William W. Brown,1849,84-89,/fpn/brownw/brown.html#BroNarr84
174,Marriage,,"Bruce, Henry Clay",The New Man,1895,74,/fpn/bruce/bruce.html#bruce74
175,Marriage,,"""Captain Stuart"" [pseud.]",Reuben Maddison,1835,31-32,/neh/captain/captain.html#madd31
176,Marriage,,"Douglass, Frederick", Life and Times of Frederick Douglass,1881,37,/neh/douglasslife/douglass.html#douglass37
177,Marriage,,"Henry, George",Life of George Henry,1894,73-74,/neh/henryg/henryg.html#henry73
178,Marriage,,"Holsey, Lucius Henry, Bp.","Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holsey, D. D.",1898,11-12,/neh/holsey/holsey.html#hols11
179,Marriage,,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,17-18,/neh/jacksonm/jackson.html#jackson17
180,Marriage,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,30-37,/fpn/jones/jones.html#AnoJone30
181,Marriage,,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,10-11,/neh/lanelunsford/lane.html#lane10
182,Marriage,,"O'Neal, William",Life and History of William O'Neal,1896,33-38,/neh/oneal/oneal.html#oneal33
183,Marriage,,"Parker, Allen",Recollections of Slavery Times,1895,22-27,/neh/parker/parker.html#parker22
184,Marriage,,"Stroyer, Jacob",Sketches of My Life in the South,1879,11-12,/neh/stroyer/stroyer.html#p11
185,Marriage,,"Truth, Sojourner, and Olive Gilbert",Narrative of Sojourner Truth,1850,36-37,/neh/truth50/truth50.html#truth36
186,Marriage,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,18-25,/fpn/veney/veney.html#veney18
187,Marriage,,"Watson, Henry",Narrative of Henry Watson,1848,18,/neh/watson/watson.html#watson18
188,Marriage,,"Williams, Isaac",Aunt Sally,1858,50-54,/neh/sally/sally.html#sally50
189,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1851,21-23,/neh/bibb/bibb.html#bibb21
190,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,26-29,/neh/boxbrown/boxbrown.html#p26
191,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Brown, Henry Box",Narrative of the Life of Henry Box Brown,1851,3-4,/neh/brownbox/brownbox.html#brown3
192,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Brown, William Wells",My Southern Home,1880,52,/neh/brown80/brown80.html#brown52
193,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Clarke, Lewis Garrard",Narrative of the Sufferings of Lewis Clarke,1845,83-84,/neh/clarke/clarke.html#clarke83
194,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Clarke, Lewis Garrard, and Milton Clarke",Narratives of the Sufferings of Lewis and Milton Clarke,1846,119-121,/neh/clarkes/clarkes.html#clark119
195,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Cox, Mary L. and Susan H. Cox, ed.",Narrative of Dimmock Charlton,1859,9,/neh/cox/cox.html#char9
196,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Green, J. D. (Jacob D.)",Narrative of the Life of J. D. Green,1864,8-9,/neh/greenjd/greenjd.html#p8
197,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Grimes, William","Life of William Grimes, The Runaway Slave",1825,22,/neh/grimes25/grimes25.html#grime22
198,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Grimes, William","Life of William Grimes, the Runaway Slave",1855,28-29,/neh/grimes55/grimes55.html#grimes28
199,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Henson, Josiah",The Life of Josiah Henson,1849,23-25,/neh/henson49/henson49.html#p23
200,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Henson, Josiah",Truth Stranger Than Fiction,1858,44-54,/neh/henson58/henson58.html#henso44
201,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Henson, Josiah",Uncle Tom's Story of His Life,1876,43-48,/neh/henson/henson.html#henso43
202,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Holsey, Lucius Henry, Bp.","Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holsey, D. D.",1898,10,/neh/holsey/holsey.html#hols10
203,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,13-22,/neh/jonestom/jones.html#tom13
204,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Parker, Allen",Recollections of Slavery Times,1895,75-78,/neh/parker/parker.html#parker75
